link,text,date,no_of_likes,no_of_comments
https://twitter.com/Gaddafi_CBS/status/1813845245676999161#m,Hata kama itachikuwa Nini hii raundi hatuendi home #OccupyEverywhere #OccupyUhuruPark #OccupyStateHouse,"Jul 18, 2024 · 7:56 AM UTC",4,0
https://twitter.com/stom_wabuko/status/1813582544119771605#m,#RutoMustGo #OccupyStateHouse #RutoMustBeStopped,"Jul 17, 2024 · 2:32 PM UTC",1,0
https://twitter.com/chemjorh/status/1813522972516458616#m,"Anyone who tries to stop a peaceful #revolution will surely be the cause of a violent revolution!!! GEN-Zs remain unshaaken, unbwogable, and determined to chase the butcher back to sugoi!!! THEY WILL NOT BELIVE IT!  #occupystatehouse #RutoMustGo #FreeAlinur","Jul 17, 2024 · 10:35 AM UTC",0,0
https://twitter.com/bekila_kiprono/status/1812757631787810994#m,"I'm a graduate, Kalenjin, voted for Ruto expecting change for his Bottom-Up Economic Model. Sadly, he has become worse than Uhuru.  #RutoMustGo #OccupyStatehouse","Jul 15, 2024 · 7:54 AM UTC",0,0
https://twitter.com/bekila_kiprono/status/1812754331193446672#m,#RutoMustGo #OccupyCBD #OccupyStatehouse,"Jul 15, 2024 · 7:41 AM UTC",0,0
https://twitter.com/bekila_kiprono/status/1812734749665857932#m,Tomorrow we are going to #OccupyStatehouse #RutoMustGo,"Jul 15, 2024 · 6:23 AM UTC",0,0
https://twitter.com/bekila_kiprono/status/1812734489384108416#m,Tomorrow we will occupy statehouse.  #RutoMustGo #OccupyStatehouse,"Jul 15, 2024 · 6:22 AM UTC",0,0
https://twitter.com/KakiLackson/status/1812429275452039613#m,@WilliamsRuto WE WANT TO BE OUT IMMEDIATELY or else STATEHOUSE tunakusalimia on Tuesday #OccupyCBDTuesday #OccupyStateHouse #RutoMustGo,"Jul 14, 2024 · 10:09 AM UTC",1,0
https://twitter.com/Joyquinn56/status/1812414807389417657#m,Wee dinywa...#OccupyStateHouse,"Jul 14, 2024 · 9:12 AM UTC",0,0
https://twitter.com/Wakabando/status/1812200377036472375#m,"NONVIOLENT Gen Z Millenials invoking the Constitution of Kenya Art 1 to evict President Ruto from State House on Tuesday 16th July 2024 is a basic, bold, inalienable  inherent, civic, patriotic duty. TUESDAY is TUESDAY. #OccupyCBDTuesday #OccupyStateHouse #AngukaNayo #RUTOMUSTGO","Jul 13, 2024 · 7:00 PM UTC",3380,244
https://twitter.com/moses_akungu/status/1812023876093649009#m,THEY WILL NOT BELIEVE! #RutoMustGo #OccupyStatehouse,"Jul 13, 2024 · 7:18 AM UTC",0,0
https://twitter.com/owinomaestro/status/1812011762360738069#m,#OccupyStatehouse #RutoMustGo,"Jul 13, 2024 · 6:30 AM UTC",0,0
https://twitter.com/IantrvrIan/status/1811972523266805781#m,#OccupyStateHouse #Occupysafaricom #OccupyEverywhere #Rutoandhisgoonsmustgo,"Jul 13, 2024 · 3:54 AM UTC",0,0
https://twitter.com/onpoint_co_ke/status/1814126687702986956#m,😂😂😂😂  #TinubuMUSTGo #OccupyCBDThursday #OccupyCitizenTv,"Jul 19, 2024 · 2:34 AM UTC",2,0
https://twitter.com/primeafricaTV/status/1813883826730397901#m,@FGaitho237 before milimani senior principa Magistrate Robinson Ondieki where he has denied two counts of computer misuse #RutoMustGoNow #OccupyCBDThursday,"Jul 18, 2024 · 10:29 AM UTC",0,0
https://twitter.com/AquteMedia/status/1813802126033961246#m,Rethinking Humility and Lessons from Kenya's Protests #OccupyEverywhere #OccupyCBDThursday https://piped.video/AT39e-qJMmc?si=pFlVREsQTGHjhBsN,"Jul 18, 2024 · 5:05 AM UTC",3,0
https://twitter.com/Nimwekesa/status/1812832763092869401#m,They will not believe #RutoMustGo #OccupyCBD #OccupyCBDThursday,"Jul 15, 2024 · 12:53 PM UTC",0,0
https://twitter.com/Nimwekesa/status/1812747637235368044#m,Can guys get her personal contacts we say hi to her #RutoMustGo #OccupyCBDTuesday #OccupyCBDThursday #OcuppyCBD,"Jul 15, 2024 · 7:14 AM UTC",1,0
https://twitter.com/AnaesthetistK/status/1812334335296524728#m,#OccupyCBDThursday,"Jul 14, 2024 · 3:52 AM UTC",0,0
https://twitter.com/XSocietyTrends/status/1812022712014880771#m,"@RailaOdinga stop shedding crocodile tears, your are in ""bed"" with this toxic anti people regime.  In fact you are birds of a feather...   What differentiate you is just ages. #JusticeForDenzel #OccupyCBDThursday #OccupyUganda #OccupyKenya #RutoMustGo #RutoMustBeStopped","Jul 13, 2024 · 7:14 AM UTC",0,0
https://twitter.com/Nimwekesa/status/1811975757167567095#m,Done #RutoMustago #OccupyCBDTuesday #OccupyCBDThursday #OcuppyCBD,"Jul 13, 2024 · 4:07 AM UTC",0,0
https://twitter.com/Nimwekesa/status/1811960614878658789#m,Seriously Boss are u serious Do u have kids lakini Why post such nonsense #OccupyCBDThursday #OcuppyCBD #OcuppyCBDTuesday #RutoMustGo,"Jul 13, 2024 · 3:07 AM UTC",0,0
https://twitter.com/EsubuMedia/status/1814949442493010429#m,"As Genz plans to #OccupyAirport #OccupyUhuruPark #OccupyKenya #ChkChkBoom   Realise there are those who will die to protect the system even if it enslaves them , this means it's not a walk in the park,it's a struggle/Big fight for change. Strategy is key for desired results.","Jul 21, 2024 · 9:04 AM UTC",0,0
https://twitter.com/EsubuMedia/status/1814948411608559852#m,"As Genz plans to #OccupyAirport #OccupyUhuruPark #OccupyKenya #ChkChkBoom   Traitors are everywhere, even in your own life, so learn how to beat them. Even Jesus, the most high could not escape Judas. Realise most people can be bought and don't have balls to stand for something","Jul 21, 2024 · 8:59 AM UTC",0,0
https://twitter.com/EsubuMedia/status/1814947545283453060#m,"As Genz plans to #OccupyAirport #OccupyUhuruPark #OccupyKenya #ChkChkBoom   Scattering focus here, then there is a wastage of energy. You need to set clear goals and subdivide work like researching information.","Jul 21, 2024 · 8:56 AM UTC",0,0
https://twitter.com/EsubuMedia/status/1814946898693738903#m,"As Genz plans to #OccupyAirport #OccupyUhuruPark #OccupyKenya #ChkChkBoom   First, you need real numbers, not just people pushing online. Motivated foot soldiers on the ground.  If you can pull 1-5 million people 💪 the inevitable happens.","Jul 21, 2024 · 8:53 AM UTC",1,0
